Year;Mileage;Price
2007;17265;4
2003;150;4
2005;215313;4
2013;88945;5
2014;161356;5
2013;138118;5
2009;15501;5
2004;83952;5
2014;1187;5
2005;141532;5
2003;230146;5
1994;180;5
2013;180;6
2012;153483;6
2010;160271;6
2012;121098;6
2010;146738;6
2004;175684;6
2005;62123;6
2008;1213;6
2015;151;6
2006;149805;6
2010;15735;7
2008;198676;7
2013;159659;7
2006;163237;7
2009;125;7
2009;139554;7
2005;232;7
2013;143;7
2011;195825;7
2010;145433;8
2012;1405;8
2006;168;8
2015;124386;8
2012;83608;8
2011;1806;8
2007;1233;8
2011;1595;8
2004;224996;8
2006;113;9
2011;63217;9
2013;94319;9
2014;101578;9
2008;173277;9
2008;120143;9
2013;120261;9
2011;12523;9
2008;100205;9
2013;91098;9
2009;148;9
2012;108017;9
2012;175;9
2015;129336;9
2002;98;9
2004;2185;9
2013;101097;9
2011;164378;10
2017;89125;10
2012;77511;10
2014;10168;10
2011;135;10
2016;130382;10
2005;57375;10
2005;112366;10
2015;11101;10
2014;124539;10
2014;87751;10
2010;86475;10
2008;88772;10
2008;206;10
2010;91876;10
2016;113403;10
2006;103076;10
2012;99;10
1999;14463;10
2016;76604;10
2012;209148;10
2015;103427;10
2014;101408;10
2015;115016;10
2005;105179;11
2011;91;11
2010;134679;11
2012;155585;11
2011;118391;11
2012;712;11
2010;73013;11
2012;160;11
2012;1594;11
2017;89274;11
1997;14592;11
2013;106761;11
2010;1292;11
2007;1015;11
2009;9784;11
1999;75;11
2010;113767;11
2013;84592;11
2008;132975;11
2013;100924;11
2015;6774;11
2011;137309;11
2010;96;11
2012;94668;11
2013;89757;11
2008;144;11
2011;120365;12
2015;119093;12
2012;146145;12
2012;65729;12
2012;184706;12
2007;94579;12
2016;119633;12
2013;109895;12
2016;145;12
2012;108883;12
2007;81299;12
2012;126857;12
2015;9211;12
2012;140689;12
2008;104631;12
2019;104221;12
2001;84099;12
2014;109715;12
2011;1338;12
2012;176786;12
2012;1095;12
2012;7599;12
2015;106656;12
2010;115417;12
2014;92835;12
2012;83589;12
2014;143841;12
2010;99808;13
2010;115692;13
2014;110811;13
2017;80705;13
2017;97781;13
2008;875;13
2017;129211;13
2019;99175;13
2013;71255;13
2012;162;13
2014;45579;13
2014;115402;13
2016;77392;13
2013;77984;13
2013;94;13
2016;5377;13
2018;105;13
